,CODIGO,PERIODO_ACADEMICO,NUM_CREDITOS,GPA,real_GPA
455,11316005,202010,10.0,43.2,4.32
456,11316006,201610,15.0,53.9,3.59
457,11316006,201620,14.0,49.300000000000004,3.52
458,11316006,201710,15.0,50.099999999999994,3.34
459,11316006,201720,15.0,55.1,3.67
460,11316006,201810,13.0,45.300000000000004,3.48
461,11316006,201820,15.0,54.5,3.63
462,11316006,201910,16.0,62.400000000000006,3.9
463,11316006,201920,14.0,56.5,4.04
464,11316006,202010,13.0,52.4,4.03
465,11316006,202020,8.0,33.3,4.16
466,11316007,201610,15.0,49.50000000000001,3.3
467,11316007,201620,14.0,48.599999999999994,3.47
468,11316007,201710,15.0,39.4,2.63
469,11316007,201810,15.0,45.8,3.05
470,11316007,201820,15.0,39.4,2.63
471,11316008,201610,15.0,63.00000000000001,4.2
472,11316008,201620,14.0,56.199999999999996,4.01
473,11316008,201710,15.0,56.300000000000004,3.75
474,11316008,201720,15.0,61.3,4.09
475,11316008,201810,13.0,48.6,3.74
476,11316008,201820,16.0,62.3,3.89
477,11316008,201910,14.0,53.099999999999994,3.79
478,11316008,201920,13.0,53.400000000000006,4.11
479,11316008,202010,14.0,62.099999999999994,4.44
480,11316008,202020,15.0,50.5,3.37
481,11316010,201610,15.0,50.199999999999996,3.35
482,11316010,201620,14.0,50.3,3.59
483,11316010,201710,16.0,52.0,3.25
484,11316010,201720,16.0,54.4,3.4
485,11316010,201810,3.0,11.6,3.87
486,11316010,201820,14.0,45.3,3.24
487,11316010,201910,12.0,41.2,3.43
488,11316010,201920,17.0,59.60000000000001,3.51
489,11316010,202010,12.0,47.4,3.95
490,11316010,202020,16.0,56.6,3.54
491,11316014,201610,15.0,8.2,0.55
492,11316501,201620,15.0,50.4,3.36
493,11316501,201710,15.0,44.50000000000001,2.97
494,11316501,201720,9.0,23.0,2.56
495,11316501,201810,4.0,4.0,1.0
496,11316502,201620,13.0,38.400000000000006,2.95
497,11316503,201620,15.0,49.800000000000004,3.32
498,11316503,201710,15.0,42.99999999999999,2.87
499,11316503,201720,12.0,40.8,3.4
500,11316503,201810,13.0,44.9,3.45
501,11316503,201820,11.0,35.099999999999994,3.19
502,11316503,201910,16.0,47.400000000000006,2.96
503,11316503,201920,15.0,47.800000000000004,3.19
504,11316503,202010,11.0,39.3,3.57
505,11316504,201620,15.0,57.60000000000001,3.84
506,11316504,201710,42.0,178.79999999999998,4.26
507,11316504,201720,15.0,55.1,3.67
508,11316504,201810,14.0,45.30000000000001,3.24
509,11316504,201820,16.0,64.7,4.04
510,11316504,201910,14.0,51.0,3.64
511,11316504,201920,20.0,64.4,3.22
512,11316504,202010,8.0,0.0,0.0
513,11316505,201620,13.0,34.2,2.63
514,11316507,201620,15.0,53.8,3.59
515,11316507,201710,13.0,28.099999999999998,2.16
516,11316507,201720,12.0,26.3,2.19
517,11316507,201810,5.0,7.9,1.58
518,11316508,201620,18.0,64.5,3.58
519,11316508,201710,2.0,8.6,4.3
520,11316508,201720,13.0,16.8,1.29
521,11316510,201620,15.0,60.1,4.01
522,11316510,201710,44.0,185.2,4.21
523,11316510,201720,16.0,61.599999999999994,3.85
524,11316510,201810,16.0,60.10000000000001,3.76
525,11316510,201820,13.0,49.2,3.78
526,11316510,201910,14.0,52.7,3.76
527,11316510,201920,8.0,35.0,4.38
528,11317004,201710,15.0,55.4,3.69
529,11317004,201720,14.0,24.400000000000002,1.74
530,11317005,201710,15.0,56.8,3.79
531,11317005,201720,14.0,24.1,1.72
532,11317006,201710,15.0,55.800000000000004,3.72
533,11317007,201710,15.0,56.00000000000001,3.73
534,11317007,201720,14.0,0.6000000000000001,0.04
535,11317009,201710,15.0,57.699999999999996,3.85
536,11317009,201720,12.0,43.6,3.63
537,11317009,201810,16.0,49.6,3.1
538,11317009,201820,13.0,16.799999999999997,1.29
539,11317009,202010,4.0,9.2,2.3
540,11317009,202020,16.0,53.4,3.34
541,11317011,201710,8.0,15.600000000000001,1.95
542,11317012,201710,15.0,14.2,0.95
543,11317502,201720,15.0,53.6,3.57
544,11317502,201810,12.0,37.6,3.13
545,11317502,201820,13.0,40.900000000000006,3.15
546,11317502,201910,14.0,45.6,3.26
547,11317502,201920,13.0,40.599999999999994,3.12
548,11317502,202010,15.0,54.3,3.62
549,11317502,202020,15.0,57.0,3.8
550,11317503,201720,15.0,62.199999999999996,4.15
551,11317503,201810,14.0,53.300000000000004,3.81
552,11317503,201910,17.0,71.2,4.19
553,11317503,201920,14.0,58.50000000000001,4.18
554,11317503,202010,14.0,60.00000000000001,4.29
555,11317503,202020,15.0,66.5,4.43
556,11317504,201720,15.0,59.8,3.99
557,11317504,201810,14.0,54.300000000000004,3.88
558,11317504,201820,12.0,49.29999999999999,4.11
559,11317504,201910,14.0,49.8,3.56
560,11317504,201920,17.0,70.4,4.14
561,11317504,202010,13.0,51.3,3.95
562,11317504,202020,16.0,65.8,4.11
563,11317505,201720,15.0,63.9,4.26
564,11317505,201810,14.0,56.0,4.0
565,11317505,201820,15.0,60.3,4.02
566,11317505,201910,14.0,56.099999999999994,4.01
567,11317505,201920,16.0,65.9,4.12
568,11317505,202010,16.0,65.7,4.11
569,11317506,201720,15.0,54.8,3.65
570,11317506,201810,14.0,47.199999999999996,3.37
571,11318001,201810,15.0,28.0,1.87
572,11318002,201810,15.0,53.4,3.56
573,11318002,201820,13.0,30.7,2.36
574,11318002,201910,14.0,50.2,3.59
575,11318002,201920,16.0,34.4,2.15
576,11318002,202010,9.0,21.799999999999997,2.42
577,11318003,201810,15.0,48.900000000000006,3.26
578,11318003,201820,14.0,9.700000000000001,0.69
579,11318003,201910,4.0,13.2,3.3
580,11318003,201920,14.0,25.900000000000002,1.85
581,11318004,201810,15.0,58.4,3.89
582,11318004,201820,14.0,56.2,4.01
583,11318004,201910,16.0,65.4,4.09
584,11318004,201920,13.0,50.000000000000014,3.85
585,11318004,202010,14.0,61.0,4.36
586,11318004,202020,16.0,68.1,4.26
587,11318007,201810,15.0,52.2,3.48
588,11318015,201810,7.0,23.2,3.31
589,11318015,201820,7.0,20.3,2.9
590,11318015,201910,94.0,334.8999999999999,3.56
591,11318015,201920,13.0,47.9,3.68
592,11318015,201921,2.0,6.6,3.3
593,11318015,202010,18.0,60.5,3.36
594,11318017,201810,11.0,32.6,2.96
595,11318017,201820,14.0,25.7,1.84
596,11318017,202010,5.0,16.200000000000003,3.24
597,11318017,202020,47.0,181.19999999999996,3.86
598,11318503,201820,15.0,33.800000000000004,2.25
599,11318504,201820,15.0,52.800000000000004,3.52
600,11318504,201910,12.0,42.4,3.53
601,11318504,201920,16.0,50.7,3.17
602,11318504,202010,12.0,44.5,3.71
603,11318505,201820,15.0,50.9,3.39
604,11318505,201910,14.0,52.7,3.76
605,11318506,201820,15.0,15.399999999999999,1.03
606,11318507,201820,15.0,49.300000000000004,3.29
607,11318507,201910,12.0,41.400000000000006,3.45
608,11318507,201920,16.0,51.1,3.19
609,11318508,201820,13.0,40.400000000000006,3.11
610,11318509,201820,14.0,21.1,1.51
611,11318510,201820,15.0,54.2,3.61
612,11318510,201910,12.0,45.5,3.79
613,11318510,201920,16.0,58.7,3.67
614,11318510,202010,12.0,43.8,3.65
615,11318510,202020,14.0,59.3,4.24
616,11318511,201820,15.0,26.700000000000003,1.78
617,11318512,201820,6.0,5.800000000000001,0.97
618,11320001,202010,44.0,189.5,4.31
