CODIGO,FECHA_SOLICITUD,TIPO
66110510,2013-02-18,aplazamiento
11710039,2013-02-19,aplazamiento
99311015,2013-02-19,reingreso
91309501,2013-02-20,reingreso
91310005,2013-02-20,reingreso
92310505,2013-02-20,reingreso
92310513,2013-02-20,reingreso
92311502,2013-02-20,reingreso
66110501,2013-02-25,aplazamiento
91908018,2013-02-26,reingreso
92412501,2013-02-28,aplazamiento
55510537,2013-03-04,aplazamiento
55610035,2013-03-04,aplazamiento
66409539,2013-03-05,aplazamiento
92310505,2013-03-06,reingreso
77109503,2013-03-13,aplazamiento
77112521,2013-03-13,aplazamiento
88112002,2013-03-14,aplazamiento
11598506,2013-04-02,reingreso
11708007,2013-04-02,aplazamiento
55712004,2013-04-15,reingreso
55510093,2013-04-22,aplazamiento
55612037,2013-04-22,aplazamiento
11711514,2013-04-23,reingreso
11199517,2013-04-29,reingreso
66107009,2013-05-02,reingreso
66409507,2013-05-02,reingreso
66412107,2013-05-06,reingreso
66510019,2013-05-06,reingreso
11193026,2013-05-07,reingreso
11708004,2013-05-07,reingreso
11709009,2013-05-07,aplazamiento
11711510,2013-05-07,reingreso
55310023,2013-05-07,reingreso
66410068,2013-05-07,reingreso
66507523,2013-05-07,reingreso
55312535,2013-05-08,aplazamiento
55510062,2013-05-08,reingreso
55511515,2013-05-08,reingreso
55711054,2013-05-08,reingreso
77412014,2013-05-08,aplazamiento
77412014,2013-05-08,reingreso
11198903,2013-05-14,reingreso
11710001,2013-05-14,reingreso
66410569,2013-05-15,reingreso
66411505,2013-05-15,reingreso
77108010,2013-05-15,reingreso
66107021,2013-05-16,reingreso
66507529,2013-05-16,reingreso
66408547,2013-05-17,reingreso
66413079,2013-05-17,aplazamiento
66111514,2013-05-20,reingreso
66409067,2013-05-20,reingreso
66409086,2013-05-20,reingreso
11313008,2013-05-21,reingreso
11409526,2013-05-21,reingreso
11411509,2013-05-21,reingreso
11709525,2013-05-21,reingreso
11711536,2013-05-21,reingreso
66307015,2013-05-21,reingreso
93412013,2013-05-21,reingreso
77109503,2013-05-22,reingreso
77112024,2013-05-22,reingreso
77208001,2013-05-22,reingreso
77209513,2013-05-22,reingreso
77210012,2013-05-22,reingreso
66411031,2013-05-23,reingreso
66412560,2013-05-23,reingreso
66112028,2013-05-24,reingreso
66406559,2013-05-27,reingreso
66407528,2013-05-27,reingreso
66409523,2013-05-27,reingreso
66410036,2013-05-27,reingreso
11312014,2013-05-28,reingreso
11710008,2013-05-28,reingreso
11710039,2013-05-28,reingreso
11711010,2013-05-28,reingreso
91907029,2013-05-28,reingreso
55211013,2013-05-29,reingreso
55312049,2013-05-29,reingreso
55510503,2013-05-29,reingreso
55511519,2013-05-29,reingreso
55511535,2013-05-29,aplazamiento
55511548,2013-05-29,reingreso
55512012,2013-05-29,reingreso
55513014,2013-05-29,reingreso
55711009,2013-05-29,reingreso
55711047,2013-05-29,reingreso
55712580,2013-05-29,reingreso
55712612,2013-05-29,reingreso
66112056,2013-05-29,reingreso
66508038,2013-05-29,reingreso
66407507,2013-05-30,reingreso
55211010,2013-05-31,reingreso
55509512,2013-05-31,reingreso
55510537,2013-05-31,reingreso
55511037,2013-05-31,reingreso
66211011,2013-05-31,reingreso
66410104,2013-05-31,reingreso
66309005,2013-06-02,reingreso
66409539,2013-06-04,reingreso
66412111,2013-06-04,reingreso
11313017,2013-06-05,aplazamiento
11412014,2013-06-05,aplazamiento
66408019,2013-06-05,reingreso
66504529,2013-06-06,reingreso
66508520,2013-06-06,reingreso
66509005,2013-06-06,reingreso
55311036,2013-06-07,reingreso
55312048,2013-06-07,aplazamiento
55511057,2013-06-07,reingreso
55512040,2013-06-07,aplazamiento
55513068,2013-06-07,aplazamiento
66107020,2013-06-07,reingreso
66512512,2013-06-07,reingreso
66612532,2013-06-07,reingreso
11291561,2013-06-11,reingreso
55511507,2013-06-11,reingreso
55712549,2013-06-11,reingreso
66612559,2013-06-11,reingreso
66409037,2013-06-12,reingreso
77207005,2013-06-12,reingreso
77211515,2013-06-12,reingreso
55310518,2013-06-17,reingreso
55712546,2013-06-17,reingreso
66108508,2013-06-18,reingreso
93409524,2013-06-18,reingreso
77108520,2013-06-19,aplazamiento
66312006,2013-06-20,reingreso
55509530,2013-06-24,reingreso
66109521,2013-06-24,reingreso
66612576,2013-06-25,reingreso
77110511,2013-06-26,reingreso
77111511,2013-06-26,reingreso
77412010,2013-06-26,reingreso
11411521,2013-07-02,reingreso
11711042,2013-07-02,reingreso
55110007,2013-07-02,reingreso
55511053,2013-07-02,reingreso
