PERIODO,COD_MAT,COD_DOCENTE
201210,66441,3115
201210,66441,1135
201210,66441,3174
201210,66441,352
201210,66442,2219
201210,66443,2594
201210,66443,1445
201210,66443,2257
201210,66443,685
201210,66443,398
201210,66443,653
201210,66443,2924
201210,66443,2956
201210,66443,3010
201210,66445,4100
201210,66446,3132
201210,66447,2457
201210,66447,1307
201210,66447,2571
201210,66447,3016
201210,66447,4073
201210,66447,2510
201210,66449,3119
201210,66449,3018
201210,66450,2943
201210,66451,3043
201210,66451,2891
201210,66451,3108
201210,66452,2314
201210,66453,2243
201210,66453,3267
201210,66453,985
201210,66453,1965
201210,66453,2070
201210,66453,4117
201210,66453,651
201210,66453,814
201210,66453,969
201210,66453,397
201210,66453,2938
201210,66453,4023
201210,66453,1355
201210,66453,1264
201210,66454,801
201210,66455,3195
201210,66456,1939
201210,66456,1099
201210,66456,2492
201210,66456,757
201210,66456,1111
201210,66457,1738
201210,66457,1737
201210,66458,2113
201210,66459,3119
201210,66460,584
201210,66461,1941
201210,66461,3116
201210,66461,3054
201210,66461,3144
201210,66461,2834
201210,66462,1130
201210,66463,2577
201210,66464,3011
201210,66465,1031
201210,66465,3230
201210,66465,2838
201210,66465,1113
201210,66465,1037
201210,66465,2837
201210,66465,3232
201210,66465,886
201210,66465,2839
201210,66465,1844
201210,66465,2836
201210,66465,3229
201210,66465,4024
201210,66466,952
201210,66467,952
201210,66501,2920
201210,66502,3025
201210,66503,216
201210,66504,3168
201210,66505,2880
201210,66506,1109
201210,66506,3185
201210,66506,3207
201210,66506,1643
201210,66506,2029
201210,66506,3193
201210,66506,1766
201210,66506,52
201210,66506,3082
201210,66506,2148
201210,66506,2425
201210,66506,3223
201210,66507,2826
201210,66508,3117
201210,66508,1940
201210,66509,96
201210,66510,3146
201210,66510,1008
201210,66511,3043
201210,66512,1473
201210,66514,3146
201210,66514,4072
201210,66515,694
201210,66516,1130
201210,66517,2980
201210,66518,3214
201210,66518,441
201210,66519,2146
201210,66520,4093
201210,66521,3211
201210,66522,1553
201210,66523,2980
201210,66524,2534
201210,66525,3173
201210,66526,3122
201210,66526,1741
201210,66527,2840
201210,66528,2314
201210,66528,4101
201210,66529,3122
201210,66531,2863
201210,66532,1434
201210,66533,1741
201210,66534,3062
201210,66535,3062
201210,66535,2453
201210,66536,2191
201210,66537,2951
201210,66538,2996
201210,66539,2501
201210,66540,3205
201210,66542,3205
201210,66543,2314
201210,66543,1940
201210,66544,4082
201210,66545,3027
201210,66546,2891
201210,66547,3115
