PERIODO_COHORTE,PERIODO_ACADEMICO,CODIGO,TOT_MAT_INSCRITAS,CRED_INSCRITOS,MAT_APROBADAS,CRED_APROBADOS,ENTRY_YEAR,SEMESTRE,FECHA
201210,201210,55712012,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55712017,8,15,2,4,2012,semestre 1,2012-02-01
201210,201210,55712018,9,17,6,12,2012,semestre 1,2012-02-01
201210,201210,55712020,8,15,3,5,2012,semestre 1,2012-02-01
201210,201210,55712021,8,15,5,9,2012,semestre 1,2012-02-01
201210,201210,55712022,9,17,5,9,2012,semestre 1,2012-02-01
201210,201210,55712023,8,15,3,6,2012,semestre 1,2012-02-01
201210,201210,55712025,8,15,5,10,2012,semestre 1,2012-02-01
201210,201210,55712026,8,15,5,10,2012,semestre 1,2012-02-01
201210,201210,55712033,9,17,4,7,2012,semestre 1,2012-02-01
201210,201210,55712034,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55712035,8,15,4,7,2012,semestre 1,2012-02-01
201210,201210,55712037,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55712038,8,15,2,3,2012,semestre 1,2012-02-01
201210,201210,55712040,8,15,3,5,2012,semestre 1,2012-02-01
201210,201210,55712042,8,15,3,5,2012,semestre 1,2012-02-01
201210,201210,55712043,8,15,2,3,2012,semestre 1,2012-02-01
201210,201210,55712044,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55712045,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55712046,9,17,3,5,2012,semestre 1,2012-02-01
201210,201210,55712047,9,17,5,9,2012,semestre 1,2012-02-01
201210,201210,55712051,0,0,0,0,2012,semestre 1,2012-02-01
201210,201210,55712054,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55712060,8,15,3,5,2012,semestre 1,2012-02-01
201210,201210,55712061,9,17,6,12,2012,semestre 1,2012-02-01
201210,201210,55712065,9,17,6,12,2012,semestre 1,2012-02-01
201210,201210,55712067,8,15,5,10,2012,semestre 1,2012-02-01
201210,201210,55712071,8,15,6,12,2012,semestre 1,2012-02-01
201210,201210,55712073,9,17,5,9,2012,semestre 1,2012-02-01
201210,201210,55712074,9,17,4,7,2012,semestre 1,2012-02-01
201210,201210,55712075,9,17,6,12,2012,semestre 1,2012-02-01
201210,201210,55712076,9,17,6,12,2012,semestre 1,2012-02-01
201210,201210,55712080,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55712081,9,17,0,0,2012,semestre 1,2012-02-01
201210,201210,55712082,8,15,5,9,2012,semestre 1,2012-02-01
201210,201210,55712084,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55712086,9,17,5,9,2012,semestre 1,2012-02-01
201210,201210,55712087,8,15,6,12,2012,semestre 1,2012-02-01
201210,201210,55712088,8,15,4,7,2012,semestre 1,2012-02-01
201210,201210,55712089,9,17,5,10,2012,semestre 1,2012-02-01
201210,201210,55712092,8,15,4,7,2012,semestre 1,2012-02-01
201210,201210,66112001,7,16,6,14,2012,semestre 1,2012-02-01
201210,201210,66112002,7,16,6,14,2012,semestre 1,2012-02-01
201210,201210,66112004,7,16,5,11,2012,semestre 1,2012-02-01
201210,201210,66112005,0,0,0,0,2012,semestre 1,2012-02-01
201210,201210,66112006,7,16,6,14,2012,semestre 1,2012-02-01
201210,201210,66112007,7,16,6,14,2012,semestre 1,2012-02-01
201210,201210,66112008,7,16,4,9,2012,semestre 1,2012-02-01
201210,201210,66112009,6,13,2,3,2012,semestre 1,2012-02-01
201210,201210,66112010,7,16,6,14,2012,semestre 1,2012-02-01
201210,201210,66112012,7,16,6,14,2012,semestre 1,2012-02-01
201210,201210,66112013,7,16,4,9,2012,semestre 1,2012-02-01
201210,201210,66112014,7,16,6,14,2012,semestre 1,2012-02-01
201210,201210,66112015,7,16,5,11,2012,semestre 1,2012-02-01
201210,201210,66112016,7,16,6,14,2012,semestre 1,2012-02-01
201210,201210,66112018,7,16,5,12,2012,semestre 1,2012-02-01
201210,201210,66112019,7,16,6,14,2012,semestre 1,2012-02-01
201210,201210,66112020,7,16,4,8,2012,semestre 1,2012-02-01
201210,201210,66112021,7,16,4,8,2012,semestre 1,2012-02-01
201210,201210,66112022,7,16,2,3,2012,semestre 1,2012-02-01
201210,201210,66112023,7,16,6,14,2012,semestre 1,2012-02-01
201210,201210,66112025,7,16,5,11,2012,semestre 1,2012-02-01
201210,201210,66112026,7,16,6,14,2012,semestre 1,2012-02-01
201210,201210,66112028,7,16,3,5,2012,semestre 1,2012-02-01
201210,201210,66112029,7,16,4,8,2012,semestre 1,2012-02-01
201210,201210,66112030,7,16,6,14,2012,semestre 1,2012-02-01
201210,201210,66112031,7,16,3,6,2012,semestre 1,2012-02-01
201210,201210,66112035,7,16,6,14,2012,semestre 1,2012-02-01
201210,201210,66112036,7,16,4,9,2012,semestre 1,2012-02-01
201210,201210,66112038,7,16,5,11,2012,semestre 1,2012-02-01
201210,201210,66112039,7,16,5,11,2012,semestre 1,2012-02-01
201210,201210,66112040,7,16,6,14,2012,semestre 1,2012-02-01
201210,201210,66112041,7,16,1,1,2012,semestre 1,2012-02-01
201210,201210,66112042,7,16,6,14,2012,semestre 1,2012-02-01
201210,201210,66112046,7,16,4,8,2012,semestre 1,2012-02-01
201210,201210,66112048,7,16,4,9,2012,semestre 1,2012-02-01
201210,201210,66112049,7,16,2,3,2012,semestre 1,2012-02-01
201210,201210,66112050,7,16,5,11,2012,semestre 1,2012-02-01
201210,201210,66112051,6,10,0,0,2012,semestre 1,2012-02-01
201210,201210,66112053,7,16,2,3,2012,semestre 1,2012-02-01
201210,201210,66112054,7,16,5,13,2012,semestre 1,2012-02-01
201210,201210,66112055,7,16,5,11,2012,semestre 1,2012-02-01
201210,201210,66112056,7,16,6,14,2012,semestre 1,2012-02-01
201210,201210,66212001,9,21,6,15,2012,semestre 1,2012-02-01
