COD_BASE,NOMBRE_MAT,COD_PRECO,NOMBRE_PRECORREQUISITO,TIPO_REQUISITO
11658,practica profesional,11651,legislacion tributaria,prerrequisito
11658,practica profesional,11652,seminario de investigacion,prerrequisito
11658,practica profesional,11653,etica profesional,prerrequisito
11658,practica profesional,11654,electiva de profundizacion ii,prerrequisito
11661,planeacion y control,11613,administracion basica,prerrequisito
11662,organizacion y direccion,11661,planeacion y control,prerrequisito
11665,negocios internacionales,11627,investigacion de mercados,prerrequisito
11714,macroeconomia,11710,microeconomia,prerrequisito
11716,estadistica inferencial,11719,estadistica descriptiva,prerrequisito
11718,contabilidad comercial,11711,contabilidad basica,prerrequisito
11718,contabilidad comercial,11711,contabilidad basica,prerrequisito
11720,economia colombiana,11710,microeconomia y macroeconomia,prerrequisito
11721,ingles ii,11717,ingles i,prerrequisito
11721,ingles ii,11717,ingles i,prerrequisito
11725,gestion del talento humano,11713,administracion basica,prerrequisito
11726,metodologia y practica de la investigacion,11719,estadistica descriptiva,prerrequisito
11727,finanzas,11769,analisis financiero,prerrequisito
11727,finanzas,11769,analisis financiero,prerrequisito
11730,legislacion tributaria,11724,legislacion comercial,prerrequisito
11735,finanzas internacionales,11727,finanzas,prerrequisito
11735,finanzas internacionales,11727,finanzas,prerrequisito
11736,procesos de mercadeo,11770,fundamentos de mercadeo,prerrequisito
11738,legislacion cambiaria y aduanera,11730,legislacion tributaria,prerrequisito
11741,investigacion de mercados internacionales,11770,fundamentos de mercadeo,prerrequisito
11742,etica profesional,11723,etica general,prerrequisito
11742,etica profesional,11723,etica general,prerrequisito
11743,ingles v,11747,ingles iv,prerrequisito
11743,ingles v,11747,ingles iv,prerrequisito
11747,ingles iv,11767,ingles iii,prerrequisito
11749,preparacion proyectos de negocios internacionales,11740,costos y cotizaciones internacionales,prerrequisito
11750,gerencia de mercadeo internacional,11736,procesos de mercadeo internacional,prerrequisito
11751,logistica y distribucion internacional,11744,importaciones,prerrequisito
11751,logistica y distribucion internacional,11744,importaciones,prerrequisito
11752,ingles vi,11743,ingles v,prerrequisito
11752,ingles vi,11743,ingles v,prerrequisito
