CODIGO,PERIODO,ENTRY_YEAR,SEMESTRE,FECHA
66416120,201810,2018,semestre 1,2018-02-01
88213013,201810,2018,semestre 1,2018-02-01
88116044,201810,2018,semestre 1,2018-02-01
33117503,201810,2018,semestre 1,2018-02-01
66116522,201810,2018,semestre 1,2018-02-01
66417533,201810,2018,semestre 1,2018-02-01
66215506,201810,2018,semestre 1,2018-02-01
66416616,201810,2018,semestre 1,2018-02-01
66114504,201810,2018,semestre 1,2018-02-01
88114513,201810,2018,semestre 1,2018-02-01
66417591,201810,2018,semestre 1,2018-02-01
66417571,201810,2018,semestre 1,2018-02-01
66417562,201810,2018,semestre 1,2018-02-01
66416051,201810,2018,semestre 1,2018-02-01
66417582,201810,2018,semestre 1,2018-02-01
66416608,201810,2018,semestre 1,2018-02-01
66416009,201810,2018,semestre 1,2018-02-01
77116002,201810,2018,semestre 1,2018-02-01
55315004,201810,2018,semestre 1,2018-02-01
11815518,201810,2018,semestre 1,2018-02-01
66417527,201810,2018,semestre 1,2018-02-01
66117027,201810,2018,semestre 1,2018-02-01
33318042,201810,2018,semestre 1,2018-02-01
55615503,201810,2018,semestre 1,2018-02-01
33312561,201810,2018,semestre 1,2018-02-01
66514502,201810,2018,semestre 1,2018-02-01
95518001,201810,2018,semestre 1,2018-02-01
66412054,201810,2018,semestre 1,2018-02-01
92718001,201810,2018,semestre 1,2018-02-01
66414545,201810,2018,semestre 1,2018-02-01
55614517,201810,2018,semestre 1,2018-02-01
55314534,201810,2018,semestre 1,2018-02-01
66415003,201810,2018,semestre 1,2018-02-01
66413553,201810,2018,semestre 1,2018-02-01
55218001,201810,2018,semestre 1,2018-02-01
33314531,201810,2018,semestre 1,2018-02-01
55714503,201810,2018,semestre 1,2018-02-01
95718003,201810,2018,semestre 1,2018-02-01
55615031,201810,2018,semestre 1,2018-02-01
66414009,201810,2018,semestre 1,2018-02-01
66417103,201810,2018,semestre 1,2018-02-01
66417101,201810,2018,semestre 1,2018-02-01
77117509,201810,2018,semestre 1,2018-02-01
55115007,201810,2018,semestre 1,2018-02-01
66415592,201810,2018,semestre 1,2018-02-01
66117515,201810,2018,semestre 1,2018-02-01
66115032,201810,2018,semestre 1,2018-02-01
66616028,201810,2018,semestre 1,2018-02-01
66415518,201810,2018,semestre 1,2018-02-01
66517504,201810,2018,semestre 1,2018-02-01
55417518,201810,2018,semestre 1,2018-02-01
66416603,201810,2018,semestre 1,2018-02-01
66115021,201810,2018,semestre 1,2018-02-01
66415087,201810,2018,semestre 1,2018-02-01
66512005,201810,2018,semestre 1,2018-02-01
55215507,201810,2018,semestre 1,2018-02-01
55714536,201810,2018,semestre 1,2018-02-01
33217507,201810,2018,semestre 1,2018-02-01
66417506,201810,2018,semestre 1,2018-02-01
55315045,201810,2018,semestre 1,2018-02-01
33316040,201810,2018,semestre 1,2018-02-01
66417522,201810,2018,semestre 1,2018-02-01
33315526,201810,2018,semestre 1,2018-02-01
94318004,201810,2018,semestre 1,2018-02-01
33316043,201810,2018,semestre 1,2018-02-01
66412567,201810,2018,semestre 1,2018-02-01
33117006,201810,2018,semestre 1,2018-02-01
33316059,201810,2018,semestre 1,2018-02-01
55716034,201810,2018,semestre 1,2018-02-01
55316026,201810,2018,semestre 1,2018-02-01
66416070,201810,2018,semestre 1,2018-02-01
66514509,201810,2018,semestre 1,2018-02-01
